program,vendor,version,in_CTD
Windows SDK Modern Versioned Developer Tools,Microsoft,10.1.19041.685,no
Windows SDK Redistributables,Microsoft,10.1.19041.685,no
Windows SDK Signing Tools,Microsoft,10.1.19041.685,no
Windows Software Development Kit - Windows 10.0.19041.685,Microsoft,10.1.19041.685,no
Windows Subsystem for Linux,Microsoft,2.3.26.0,no
Windows Team Extension SDK,Microsoft,10.1.19041.685,no
Windows Team Extension SDK Contracts,Microsoft,10.1.19041.685,no
WinRT Intellisense Desktop - en-us,Microsoft,10.1.19041.685,no
WinRT Intellisense Desktop - Other Languages,Microsoft,10.1.19041.685,no
WinRT Intellisense IoT - en-us,Microsoft,10.1.19041.685,no
WinRT Intellisense IoT - Other Languages,Microsoft,10.1.19041.685,no
WinRT Intellisense Mobile - en-us,Microsoft,10.1.19041.685,no
WinRT Intellisense PPI - en-us,Microsoft,10.1.19041.685,no
WinRT Intellisense PPI - Other Languages,Microsoft,10.1.19041.685,no
WinRT Intellisense UAP - en-us,Microsoft,10.1.19041.685,no
WinRT Intellisense UAP - Other Languages,Microsoft,10.1.19041.685,no
WinSCP 6.5.5,Martin Prikryl,6.5.5,no
Wireshark 4.4.8 x64,Wireshark Developer Community Https://Www.Wireshark.Org,4.4.8,no
wkhtmltox 0.12.6-1,,,no
Yabe version 1.3.2,Yabe Authors,1.3.2,no
Zoom Workplace,Zoom Communications,6.7.8 (32670),no
