program,vendor,version,cleaned name,cpe_name
Windows Desktop Extension SDK Contracts,Microsoft,10.1.19041.685,Windows Desktop Extension SDK Contracts,NOT_FOUND
Windows Driver Package - Silicon Laboratories (silabenm) Ports  (12/10/2012 6.6.1.0),Silicon Laboratories,12/10/2012 6.6.1.0,Windows Driver Package,NOT_FOUND
Windows Driver Package - STMicroelectronics (usbser) Ports  (04/25/2010 1.3.1),STMicroelectronics,04/25/2010 1.3.1,Windows Driver Package,NOT_FOUND
Windows IoT Extension SDK,Microsoft,10.1.19041.685,Windows IoT Extension SDK,NOT_FOUND
Windows IoT Extension SDK Contracts,Microsoft,10.1.19041.685,Windows IoT Extension SDK Contracts,NOT_FOUND
Windows Mobile Extension SDK,Microsoft,10.1.19041.685,Windows Mobile Extension SDK,NOT_FOUND
Windows Mobile Extension SDK Contracts,Microsoft,10.1.19041.685,Windows Mobile Extension SDK Contracts,NOT_FOUND
Windows SDK,Microsoft,10.1.19041.685,Windows SDK,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK AddOn,Microsoft,10.1.0.0,Windows SDK AddOn,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK ARM Desktop Tools,Microsoft,10.1.19041.685,Windows SDK ARM Desktop Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers arm,Microsoft,10.1.19041.685,Windows SDK Desktop Headers arm,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers arm64,Microsoft,10.1.19041.685,Windows SDK Desktop Headers,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers x64,Microsoft,10.1.19041.685,Windows SDK Desktop Headers,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Headers x86,Microsoft,10.1.19041.685,Windows SDK Desktop Headers,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs arm,Microsoft,10.1.19041.685,Windows SDK Desktop Libs arm,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs arm64,Microsoft,10.1.19041.685,Windows SDK Desktop Libs,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs x64,Microsoft,10.1.19041.685,Windows SDK Desktop Libs,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Libs x86,Microsoft,10.1.19041.685,Windows SDK Desktop Libs,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Tools arm64,Microsoft,10.1.19041.685,Windows SDK Desktop Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Tools x64,Microsoft,10.1.19041.685,Windows SDK Desktop Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Desktop Tools x86,Microsoft,10.1.19041.685,Windows SDK Desktop Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK DirectX x64 Remote,Microsoft,10.1.19041.685,Windows SDK DirectX Remote,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK DirectX x86 Remote,Microsoft,10.1.19041.685,Windows SDK DirectX Remote,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK EULA,Microsoft,10.1.19041.685,Windows SDK EULA,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Facade Windows WinMD Versioned,Microsoft,10.1.19041.685,Windows SDK Facade Windows WinMD Versioned,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Contracts,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps Contracts,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps DirectX x86 Remote,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps DirectX Remote,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Headers,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps Headers,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Libs,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps Libs,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Metadata,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps Metadata,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Apps Tools,Microsoft,10.1.19041.685,Windows SDK Windows Store Apps Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK for Windows Store Managed Apps Libs,Microsoft,10.1.19041.685,Windows SDK Windows Store Managed Apps Libs,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Modern Non-Versioned Developer Tools,Microsoft,10.1.19041.685,Windows SDK Modern Non-Versioned Developer Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Modern Versioned Developer Tools,Microsoft,10.1.19041.685,Windows SDK Modern Versioned Developer Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Redistributables,Microsoft,10.1.19041.685,Windows SDK Redistributables,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows SDK Signing Tools,Microsoft,10.1.19041.685,Windows SDK Signing Tools,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows Software Development Kit - Windows 10.0.19041.685,Microsoft,10.1.19041.685,Windows Software Development Kit,cpe:2.3:a:microsoft:windows_software_development_kit:*:*:*:*:*:*:*:*
Windows Subsystem for Linux,Microsoft,2.3.26.0,Windows Subsystem Linux,cpe:2.3:a:microsoft:windows_subsystem_for_linux:*:*:*:*:*:*:*:*
Windows Team Extension SDK,Microsoft,10.1.19041.685,Windows Team Extension SDK,NOT_FOUND
Windows Team Extension SDK Contracts,Microsoft,10.1.19041.685,Windows Team Extension SDK Contracts,NOT_FOUND
WinRT Intellisense Desktop - en-us,Microsoft,10.1.19041.685,WinRT Intellisense Desktop,NOT_FOUND
