Asset ID,Asset Name,Item,CVE ID
402,DESKTOP-5NATTOG,87,CVE-2026-10961
402,DESKTOP-5NATTOG,88,CVE-2026-10009
402,DESKTOP-5NATTOG,89,CVE-2026-10941
402,DESKTOP-5NATTOG,90,CVE-2026-11262
402,DESKTOP-5NATTOG,91,CVE-2026-9988
402,DESKTOP-5NATTOG,92,CVE-2026-9952
402,DESKTOP-5NATTOG,93,CVE-2026-11173
402,DESKTOP-5NATTOG,94,CVE-2026-11086
402,DESKTOP-5NATTOG,95,CVE-2026-9983
402,DESKTOP-5NATTOG,96,CVE-2026-11231
402,DESKTOP-5NATTOG,97,CVE-2026-11076
402,DESKTOP-5NATTOG,98,CVE-2026-11191
402,DESKTOP-5NATTOG,99,CVE-2026-10974
402,DESKTOP-5NATTOG,100,CVE-2026-11015
402,DESKTOP-5NATTOG,101,CVE-2026-10931
402,DESKTOP-5NATTOG,102,CVE-2026-11667
402,DESKTOP-5NATTOG,103,CVE-2026-10907
402,DESKTOP-5NATTOG,104,CVE-2026-11648
402,DESKTOP-5NATTOG,105,CVE-2026-9111
402,DESKTOP-5NATTOG,106,CVE-2026-11265
402,DESKTOP-5NATTOG,107,CVE-2026-11028
402,DESKTOP-5NATTOG,108,CVE-2026-11066
402,DESKTOP-5NATTOG,109,CVE-2026-9958
402,DESKTOP-5NATTOG,110,CVE-2026-10006
402,DESKTOP-5NATTOG,111,CVE-2026-9898
402,DESKTOP-5NATTOG,112,CVE-2026-11646
402,DESKTOP-5NATTOG,113,CVE-2026-11673
402,DESKTOP-5NATTOG,114,CVE-2026-10915
402,DESKTOP-5NATTOG,115,CVE-2026-11074
402,DESKTOP-5NATTOG,116,CVE-2026-11119
402,DESKTOP-5NATTOG,117,CVE-2026-9997
402,DESKTOP-5NATTOG,118,CVE-2026-10884
402,DESKTOP-5NATTOG,119,CVE-2026-11092
402,DESKTOP-5NATTOG,120,CVE-2026-11649
402,DESKTOP-5NATTOG,121,CVE-2026-10991
402,DESKTOP-5NATTOG,122,CVE-2026-9909
402,DESKTOP-5NATTOG,123,CVE-2026-9893
402,DESKTOP-5NATTOG,124,CVE-2026-10905
402,DESKTOP-5NATTOG,125,CVE-2026-11050
402,DESKTOP-5NATTOG,126,CVE-2026-9928
402,DESKTOP-5NATTOG,127,CVE-2026-9922
402,DESKTOP-5NATTOG,128,CVE-2026-11661
402,DESKTOP-5NATTOG,129,CVE-2026-11130
402,DESKTOP-5NATTOG,130,CVE-2026-11136
402,DESKTOP-5NATTOG,131,CVE-2026-9940
