CVE ID,Confirmed Asset Count
CVE-2026-11146,1
CVE-2026-11147,1
CVE-2026-11149,1
CVE-2026-11151,1
CVE-2026-11152,1
CVE-2026-11153,1
CVE-2026-11154,1
CVE-2026-11158,1
CVE-2026-11163,1
CVE-2026-11164,1
CVE-2026-11165,1
CVE-2026-11167,1
CVE-2026-11169,1
CVE-2026-11170,1
CVE-2026-11171,1
CVE-2026-11172,1
CVE-2026-11173,1
CVE-2026-11175,1
CVE-2026-11177,1
CVE-2026-11179,1
CVE-2026-11185,1
CVE-2026-11188,1
CVE-2026-11191,1
CVE-2026-11198,1
CVE-2026-11201,1
CVE-2026-11202,1
CVE-2026-11207,1
CVE-2026-11211,1
CVE-2026-11213,1
CVE-2026-11224,1
CVE-2026-11231,1
CVE-2026-11235,1
CVE-2026-11236,1
CVE-2026-11237,1
CVE-2026-11239,1
CVE-2026-11241,1
CVE-2026-11242,1
CVE-2026-11248,1
CVE-2026-11250,1
CVE-2026-11255,1
CVE-2026-11256,1
CVE-2026-11262,1
CVE-2026-11265,1
CVE-2026-11272,1
CVE-2026-11282,1
CVE-2026-11293,1
CVE-2026-11295,1
CVE-2026-11296,1
CVE-2026-11297,1
CVE-2026-11301,1
CVE-2026-11303,1
CVE-2026-11304,1
CVE-2026-11305,1
CVE-2026-11306,1
CVE-2026-11307,1
CVE-2026-11629,1
CVE-2026-11630,1
CVE-2026-11631,1
CVE-2026-11632,1
CVE-2026-11633,1
CVE-2026-11634,1
CVE-2026-11635,1
CVE-2026-11636,1
CVE-2026-11637,1
CVE-2026-11638,1
CVE-2026-11639,1
CVE-2026-11640,1
CVE-2026-11641,1
CVE-2026-11642,1
CVE-2026-11643,1
CVE-2026-11644,1
CVE-2026-11645,1
CVE-2026-11646,1
CVE-2026-11647,1
CVE-2026-11648,1
CVE-2026-11649,1
CVE-2026-11650,1
CVE-2026-11651,1
CVE-2026-11652,1
CVE-2026-11654,1
CVE-2026-11655,1
CVE-2026-11656,1
CVE-2026-11657,1
CVE-2026-11659,1
CVE-2026-11660,1
CVE-2026-11661,1
CVE-2026-11662,1
CVE-2026-11663,1
CVE-2026-11664,1
CVE-2026-11667,1
CVE-2026-11670,1
CVE-2026-11671,1
CVE-2026-11673,1
CVE-2026-11674,1
CVE-2026-11677,1
CVE-2026-11679,1
CVE-2026-11680,1
CVE-2026-11683,1
CVE-2026-11687,1
CVE-2026-11688,1
CVE-2026-11690,1
CVE-2026-11692,1
CVE-2026-11693,1
CVE-2026-11694,1
CVE-2026-11697,1
CVE-2026-11698,1
CVE-2026-11699,1
CVE-2026-11700,1
CVE-2026-33622,1
CVE-2026-44815,1
CVE-2026-45657,1
CVE-2026-47291,1
CVE-2026-9111,1
CVE-2026-9112,1
CVE-2026-9114,1
CVE-2026-9117,1
CVE-2026-9118,1
CVE-2026-9119,1
CVE-2026-9120,1
CVE-2026-9121,1
CVE-2026-9123,1
CVE-2026-9126,1
CVE-2026-9872,1
CVE-2026-9873,1
CVE-2026-9874,1
CVE-2026-9875,1
CVE-2026-9876,1
CVE-2026-9877,1
CVE-2026-9878,1
CVE-2026-9879,1
CVE-2026-9880,1
CVE-2026-9881,1
CVE-2026-9883,1
CVE-2026-9884,1
CVE-2026-9885,1
CVE-2026-9886,1
CVE-2026-9887,1
CVE-2026-9888,1
CVE-2026-9889,1
CVE-2026-9890,1
CVE-2026-9891,1
CVE-2026-9892,1
CVE-2026-9893,1
CVE-2026-9894,1
CVE-2026-9895,1
CVE-2026-9896,1
CVE-2026-9897,1
CVE-2026-9898,1
CVE-2026-9899,1
CVE-2026-9900,1
CVE-2026-9901,1
CVE-2026-9902,1
CVE-2026-9904,1
CVE-2026-9905,1
CVE-2026-9906,1
CVE-2026-9909,1
CVE-2026-9910,1
CVE-2026-9914,1
CVE-2026-9915,1
CVE-2026-9916,1
CVE-2026-9918,1
CVE-2026-9922,1
CVE-2026-9923,1
CVE-2026-9924,1
CVE-2026-9925,1
CVE-2026-9926,1
CVE-2026-9927,1
CVE-2026-9928,1
CVE-2026-9931,1
CVE-2026-9932,1
CVE-2026-9933,1
CVE-2026-9934,1
CVE-2026-9936,1
CVE-2026-9937,1
