CVE ID,Item,Asset Name,Asset ID,Class Type,Ipv4,Ipv6,Mac,Vendor,Os,Model,Firmware,Serial Number,Num Alerts,Insight Names
CVE-2026-10021,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10022,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10881,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10882,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10883,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10884,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10885,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10886,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10887,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10888,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10889,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10890,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10891,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10892,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10893,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10894,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10895,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10896,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10897,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10898,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10899,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10900,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10901,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10902,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10903,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10904,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10905,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10906,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10907,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10908,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10909,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10910,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10911,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10913,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10914,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10915,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10917,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10918,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
